"state","hhold_size_cat","AGE5P","number_of_people"
"Victoria","Single","20_24",20841
"Victoria","Single","25_29",41512
"Victoria","Single","30_34",45417
"Victoria","Single","35_39",39503
"Victoria","Single","40_44",33121
"Victoria","Single","45_49",36011
"Victoria","Single","50_54",42517
"Victoria","Single","55_59",50095
"Victoria","Single","60_64",56873
"Victoria","Single","65_69",56935
"Victoria","Single","70_74",55518
"Victoria","Single","75_79",44816
"Victoria","Single","80+",78012
"Victoria","Medium (2 - 5 people)","0_4",299920
"Victoria","Medium (2 - 5 people)","5_9",310683
"Victoria","Medium (2 - 5 people)","10_14",297302
"Victoria","Medium (2 - 5 people)","15_19",276606
"Victoria","Medium (2 - 5 people)","20_24",307041
"Victoria","Medium (2 - 5 people)","25_29",356558
"Victoria","Medium (2 - 5 people)","30_34",382615
"Victoria","Medium (2 - 5 people)","35_39",376042
"Victoria","Medium (2 - 5 people)","40_44",328222
"Victoria","Medium (2 - 5 people)","45_49",319578
"Victoria","Medium (2 - 5 people)","50_54",313157
"Victoria","Medium (2 - 5 people)","55_59",284525
"Victoria","Medium (2 - 5 people)","60_64",257054
"Victoria","Medium (2 - 5 people)","65_69",215866
"Victoria","Medium (2 - 5 people)","70_74",185627
"Victoria","Medium (2 - 5 people)","75_79",124525
"Victoria","Medium (2 - 5 people)","80+",127361
"Victoria","Large (6+ people)","0_4",41462
"Victoria","Large (6+ people)","5_9",55825
"Victoria","Large (6+ people)","10_14",59428
"Victoria","Large (6+ people)","15_19",47816
"Victoria","Large (6+ people)","20_24",35235
"Victoria","Large (6+ people)","25_29",25739
"Victoria","Large (6+ people)","30_34",24752
"Victoria","Large (6+ people)","35_39",31386
"Victoria","Large (6+ people)","40_44",30219
"Victoria","Large (6+ people)","45_49",25553
"Victoria","Large (6+ people)","50_54",18768
"Victoria","Large (6+ people)","55_59",11875
"Victoria","Large (6+ people)","60_64",8957
"Victoria","Large (6+ people)","65_69",7471
"Victoria","Large (6+ people)","70_74",5548
"Victoria","Large (6+ people)","75_79",3187
"Victoria","Large (6+ people)","80+",3380
"Western Australia","Single","0_4",490
"Western Australia","Single","5_9",575
"Western Australia","Single","10_14",544
"Western Australia","Single","15_19",1865
"Western Australia","Single","20_24",9196
"Western Australia","Single","25_29",15515
"Western Australia","Single","30_34",16265
"Western Australia","Single","35_39",14977
"Western Australia","Single","40_44",13211
"Western Australia","Single","45_49",14255
"Western Australia","Single","50_54",17783
"Western Australia","Single","55_59",21047
"Western Australia","Single","60_64",23511
"Western Australia","Single","65_69",23655
"Western Australia","Single","70_74",23085
"Western Australia","Single","75_79",17522
"Western Australia","Single","80+",29224
"Western Australia","Medium (2 - 5 people)","0_4",127412
"Western Australia","Medium (2 - 5 people)","5_9",132080
"Western Australia","Medium (2 - 5 people)","10_14",129071
"Western Australia","Medium (2 - 5 people)","15_19",115749
"Western Australia","Medium (2 - 5 people)","20_24",115680
"Western Australia","Medium (2 - 5 people)","25_29",125301
"Western Australia","Medium (2 - 5 people)","30_34",142467
"Western Australia","Medium (2 - 5 people)","35_39",147660
"Western Australia","Medium (2 - 5 people)","40_44",131472
